id,name_eng,country,lon,lat,name_ua,name_ru
703863,Sanatoriy Kryms’ke Prymor”ya,UA,35.190475,44.911317,Кримське Примор'є,Крымское Приморье
815919,Sorokin,UA,34.036667,52.15778,Прогрес,Прогресс
693272,Sokolyne,UA,33.966667,44.549999,Соколине,Соколиное
692800,Starosel’ye,UA,33.916668,44.75,Старосілля,Староселье
694320,Shchebetovka,UA,35.150002,44.933334,Щебетовка,Щебетовка
694385,Shakh-Murza Staraya,UA,35.016666,44.983334,Шах-Мурза Стара,Шах-Мурза Старая
692196,Sums’ka Oblast’,UA,34,51,Сумська область,Сумская область
692672,Stavyshche,UA,29.533333,50.400002,Ставище,Ставище
693738,Sitnyaki,UA,29.700001,50.416668,Ситняки,Ситняки
692014,Svyatoshino,UA,30.366667,50.450001,Святошине,Святошино
694558,Semypolky,UA,30.933332,50.716667,Семиполки,Семиполки
691991,Syrai,UA,31.049999,50.849998,Сираї,Сыраи
693585,Slavov,UA,28.533333,50.483334,Славів,Славов
693372,Snitovskoye,UA,33.866669,44.416668,Олива,Олива
693056,Sovetskoye,UA,34.166668,44.549999,Совєтське,Советское
694393,Shablykina,UA,33.433334,44.583332,Шабликіна,Шаблыкина
694728,Schastlivoye,UA,34.066666,44.566666,Щасливе,Счастливое
694423,Sevastopol,UA,33.533333,44.599998,Севастополь,Севастополь
694574,Semydvir”ya,UA,34.466667,44.716667,Семидвір'я,Семидворье
693070,Sotera,UA,34.5,44.733334,Сотера,Сотера
693698,Skalyste,UA,33.966667,44.816666,Скалисте,Скалистое
692315,Sudak,UA,34.966667,44.849998,Судак,Судак
693219,Sonyachna Dolyna,UA,35.099998,44.866669,Сонячна Долина,Солнечная Долина
694115,Shevekova,UA,35.200001,44.916668,Шевекова,Шевекова
694910,Saky,UA,33.603058,45.135555,Саки,Саки
694627,Semenivka,UA,35.766666,45.383331,Семенівка,Семёновка
694308,Shchemilovka,UA,33.700001,46.150002,Щемилівка,Щемиловка
712752,Sanatoriy Batylyman,UA,33.6817,44.418985,Санаторій Батилиман,Санаторий Батилиман
692714,Staryy Krym,UA,35.099998,45.033333,Старий Крим,Старый Крым
694554,Semysotka,UA,35.566666,45.233334,Семисотка,Семисотка
692995,Sredniy Fontan,UA,30.755453,46.413911,Середній Фонтан,Средний Фонтан
693080,Sosnovka,UA,35.166668,46.683334,Якимівка,Акимовка
694623,Semenivka,UA,35.413334,46.889999,Семенівка,Семёновка
694240,Shëlokovyy,UA,35.283333,47.900002,Матвіївка,Матвеевка
694117,Shevchenko Vtoroy,UA,35.400002,48.516666,Шевченко другий,Шевченко второй
693250,Sokolovo,UA,35.316666,48.533333,Соколове,Соколово
6722149,Sokol’nyky,UA,36.261181,50.033634,Сокольники,Сокольники
812806,Sinolitsovka,UA,36.042782,49.958889,Синьолицівка,Синолицовка
694246,Shelkovichnoye,UA,34.099998,44.633331,Шовковичне,Шелковичное
6725648,Shevchenka,UA,36.212448,50.36552,Шевченка,Шевченко
693598,Slatino,UA,36.160831,50.224171,Слатине,Слатино
692035,Svobodnaya Zhizn’,UA,35.049999,46.599998,Новоданилівка,Новоданиловка
694568,Semikhatka,UA,35.066669,46.583328,Семихатки,Семихатки
693269,Sokolohirne,UA,34.942539,46.498131,Сокологірне,Сокологорное
7032306,Shchorsivka,UA,34.68531,46.256531,Олексіївка,Алексеевка
7046678,Sal’kove,UA,34.606331,46.175251,Салькове,Сальково
693226,Solone Ozero,UA,34.447819,45.888481,Солоне Озеро,Солёное Озеро
692505,Stovpove,UA,34.467331,45.826759,Стовпове,Столбовое
6981123,Shyroke,UA,34.047321,45.20155,Широке,Широкое
693342,Sofiyivka,UA,34.001209,45.097092,Софіївка,Софиевка
7040016,Samokhvalove,UA,33.922482,44.824558,Самохвалове,Самохвалово
7040142,Semarenka,UA,33.689098,44.700291,Семеренка,Семеренка
692909,Staraya Darnitsa,UA,30.633329,50.433331,Стара Дарниця,Старая Дарница
693805,Simferopol,UA,34.11079,44.957191,Сімферополь,Симферополь
694165,Shevchenko,UA,35,48.5,Шевченко,Шевченко
694197,Shestakovka,UA,31.97595,48.515968,Шостаківка,Шестаковка
693360,Sobatin,UA,22.99712,48.324169,Собатин,Собатин
7040018,Sevastyanivka,UA,33.932999,44.81974,Севастянівка,Севастьяновка
692194,Sumy,UA,34.800289,50.9216,Суми,Сумы
692975,Stakhanov,UA,38.64352,48.56818,Кадіївка,Кадиевка
691999,Syeverodonetsk,UA,38.491661,48.948318,Сєвєродонецьк,Северодонецк
694350,Sharhorod,UA,28.08497,48.73835,Шаргород,Шаргород
693468,Sloviansk,UA,37.616669,48.866669,Слов’янськ,Славянск
693709,Skadovsk,UA,32.91124,46.1161,Скадовськ,Скадовск
693581,Slavuta,UA,26.865061,50.301552,Славута,Славута
694216,Shepetivka,UA,27.06365,50.185452,Шепетівка,Шепетовка
693514,Sloboda Zasluch’,UA,27.216669,49.75,Слобода Заслуш,Слобода Заслуш
693942,Shostka,UA,33.469799,51.862961,Шостка,Шостка
692176,Sursko-Litovskoye,UA,34.93367,48.336658,Сурсько-Литовське,Сурско-Литовское
693301,Sokal,UA,24.282881,50.47438,Сокаль,Сокаль
694792,Sarny,UA,26.60191,51.337952,Сарни,Сарны
693379,Snihurivka,UA,32.805161,47.07579,Снігурівка,Снигирёвка
693231,Solone,UA,34.872082,48.20805,Солоне,Солёное
694864,Sambir,UA,23.197519,49.518299,Самбiр,Самбор
692301,Sudovaya Vishnya,UA,23.372181,49.788921,Судова Вишня,Судовая Вишня
692372,Stryi,UA,23.856091,49.26223,Стрий,Стрый
692632,Stebnik,UA,23.56357,49.294159,Стебник,Стебник
806930,Savkino,UA,34.086109,51.583889,Савкіне,Савкино
693920,Shpola,UA,31.394711,49.00687,Шпола,Шпола
692129,Svalyava,UA,22.995781,48.548531,Свалява,Свалява
692287,Sukharka,UA,29.23333,50.5,Сухарка,Сухарка
693457,Smila,UA,31.88714,49.22242,Сміла,Смела
692487,Storozhynets’,UA,25.72028,48.164299,Сторожинець,Сторожинец
694677,Selidovo,UA,37.30032,48.147079,Селидове,Селидово
693796,Synelnykove,UA,35.517921,48.320438,Синельникове,Синельниково
693705,Skakunka,UA,29.049999,49.23333,Липовець,Липовец
692832,Starobilsk,UA,38.91069,49.27832,Старобільськ,Старобельск
692254,Sukhodol’sk,UA,39.710499,48.35014,Суходільськ,Суходольск
706757,Soledar,UA,38.08902,48.679352,Соледар,Соледар
693615,Skvyra,UA,29.665689,49.73177,Сквира,Сквира
694812,Sarata,UA,29.66567,46.019661,Сарата,Сарата
692105,Sverdlovsk,UA,39.652431,48.089642,Довжанськ,Должанск
692118,Svatove,UA,38.150349,49.41029,Сватове,Сватово
694656,Sel’tse,UA,26.75,51,Березне,Березно
810784,Slavyanoserbsk,UA,38.908329,48.549171,Слов'яносербськ,Славяносербск
693809,Simeiz,UA,34.007038,44.40646,Сімеїз,Симеиз
692146,Sutysky,UA,28.41732,49.04245,Сутиски,Сутиски
694745,Savran,UA,30.08247,48.132191,Саврань,Саврань
693381,Snizhne,UA,38.772251,48.026119,Сніжне,Снежное
692786,Staroverovka,UA,35.696651,49.54361,Старовірівка,Староверовка
693365,Snyatyn,UA,25.56937,48.446918,Снятин,Снятын
694603,Semenivka,UA,33.180489,49.590309,Семенівка,Семёновка
692702,Staryy Sambor,UA,23.000561,49.43856,Старий Самбір,Старый Самбор
6930327,Slavutich,UA,30.734341,51.519642,Славутич,Славутич
694333,Shatsk,UA,23.938061,51.502079,Шацьк,Шацк
693284,Sokyryany,UA,27.41678,48.447472,Сокиряни,Сокиряны
692856,Stara Vyzhivka,UA,24.43997,51.437618,Стара Вижівка,Старая Выжевка
692210,Sukhyy Lyman,UA,30.6458,46.392132,Сухий Лиман,Сухой Лиман
693665,Sknyliv,UA,23.950001,49.799999,Скнилів,Скнилов
694817,Sarabuz Russkiy,UA,33.98333,45.049999,Солов'ївка,Соловьёвка
693960,Shmidta,UA,39.386108,48.399719,Переможне,Переможное
692087,Svitlovodsk,UA,33.241058,49.048939,Світловодськ,Светловодск
692818,Starokostyantyniv,UA,27.203421,49.757641,Старокостянтинів,Староконстантинов
694382,Shakhtersk,UA,38.516651,48.062519,Шахтарськ,Шахтёрск
692016,Svyatogorsk,UA,37.566669,49.033329,Святогірськ,Святогорск
692039,Svityaz,UA,23.859039,51.482109,Світязь,Свитязь
692122,Svarychiv,UA,24.196581,48.9622,Сваричів,Сварычев
692175,Sursko-Mikhaylovka,UA,34.727589,48.272018,Сурсько-Михайлівка,Сурско-Михайловка
692233,Sukhovolya,UA,23.8377,49.824261,Суховоля,Суховоля
692317,Subottsi,UA,32.520931,48.655449,Суботці,Субботцы
692352,Studenok,UA,37.486969,49.091068,Студенок,Студенок
692465,Strabychovo,UA,22.543079,48.392471,Страбичово,Страбичово
692531,Stetseva,UA,25.57572,48.527672,Стецева,Стецева
